,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,install_clean,size_kb
1655,Candy Crush Saga,GAME,4.4,22426677,74.0,"500,000,000+",Free,0.0,Everyone,Casual,2018-07-05,1,4.1 and up,500000000,False
1656,Solitaire,GAME,4.7,254258,23.0,"10,000,000+",Free,0.0,Everyone,Card,2018-08-01,2,4.1 and up,10000000,False
1657,Bubble Shooter,GAME,4.5,148897,46.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-07-17,1,4.0.3 and up,10000000,False
1658,Hello Kitty Nail Salon,GAME,4.2,369203,24.0,"50,000,000+",Free,0.0,Everyone,Casual;Pretend Play,2018-04-17,1,4.1 and up,50000000,False
1660,Clash Royale,GAME,4.6,23133508,97.0,"100,000,000+",Free,0.0,Everyone 10+,Strategy,2018-06-27,2,4.1 and up,100000000,False
1661,Temple Run 2,GAME,4.3,8118609,62.0,"500,000,000+",Free,0.0,Everyone,Action,2018-07-05,1,4.0 and up,500000000,False
1662,Pou,GAME,4.3,10485308,24.0,"500,000,000+",Free,0.0,Everyone,Casual,2018-05-25,1,4.0 and up,500000000,False
1663,Helix Jump,GAME,4.2,1497361,33.0,"100,000,000+",Free,0.0,Everyone,Action,2018-04-09,1,4.1 and up,100000000,False
1664,Block Puzzle,GAME,4.6,59800,7.8,"5,000,000+",Free,0.0,Everyone,Puzzle,2018-03-06,2,2.3 and up,5000000,False
1665,Angry Birds Rio,GAME,4.4,2610526,46.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-07-03,2,4.1 and up,100000000,False
1666,Plants vs. Zombies FREE,GAME,4.4,4066989,69.0,"100,000,000+",Free,0.0,Everyone 10+,Strategy,2018-07-06,2,4.1 and up,100000000,False
1667,Sonic Dash,GAME,4.5,3778921,75.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-07-26,3,4.1 and up,100000000,False
1668,Candy Crush Soda Saga,GAME,4.4,6198563,67.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-10,1,4.1 and up,100000000,False
1669,Zombie Hunter King,GAME,4.3,10306,50.0,"1,000,000+",Free,0.0,Mature 17+,Action,2018-08-01,1,2.3 and up,1000000,False
1672,Block Puzzle Classic Legend !,GAME,4.2,17039,4.9,"5,000,000+",Free,0.0,Everyone,Puzzle,2018-04-13,2,2.3.3 and up,5000000,False
1673,PAC-MAN,GAME,4.2,685981,37.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-05-15,6,4.1 and up,100000000,False
1674,Super Jim Jump - pixel 3d,GAME,4.5,10393,18.0,"1,000,000+",Free,0.0,Everyone,Arcade,2018-07-11,2,4.0 and up,1000000,False
1675,8 Ball Pool,GAME,4.5,14198297,52.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-31,4,4.0.3 and up,100000000,False
1677,Bubble Witch 3 Saga,GAME,4.7,1732263,78.0,"50,000,000+",Free,0.0,Everyone,Puzzle,2018-07-17,4,3.0 and up,50000000,False
1678,Word Search,GAME,4.7,295241,3.9,"10,000,000+",Free,0.0,Everyone,Word,2018-06-06,1,3.0 and up,10000000,False
1679,Granny,GAME,4.5,1135631,59.0,"50,000,000+",Free,0.0,Teen,Arcade,2018-05-29,1,4.0 and up,50000000,False
1680,Angry Birds Classic,GAME,4.4,5566669,97.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-05-24,7,4.1 and up,100000000,False
1681,Flow Free,GAME,4.3,1295557,11.0,"100,000,000+",Free,0.0,Everyone,Puzzle,2018-04-11,4,4.1 and up,100000000,False
1682,Race the Traffic Moto,GAME,3.8,270687,38.0,"10,000,000+",Free,0.0,Teen,Racing,2018-07-20,1,4.0.3 and up,10000000,False
1687,Barbie™ Fashion Closet,GAME,4.1,68057,85.0,"10,000,000+",Free,0.0,Everyone,Casual;Creativity,2018-07-30,1,4.1 and up,10000000,False
1688,Candy Crush Jelly Saga,GAME,4.3,1300490,78.0,"50,000,000+",Free,0.0,Everyone,Puzzle,2018-07-20,2,4.0 and up,50000000,False
1689,Hill Climb Racing,GAME,4.4,8923587,63.0,"100,000,000+",Free,0.0,Everyone,Racing,2018-07-02,1,4.2 and up,100000000,False
1691,Marble - Temple Quest,GAME,4.3,42053,24.0,"10,000,000+",Free,0.0,Everyone,Puzzle,2018-06-21,4,4.0.3 and up,10000000,False
1692,Shooting King,GAME,4.4,257724,69.0,"10,000,000+",Free,0.0,Everyone 10+,Sports,2018-05-25,1,4.0.3 and up,10000000,False
1693,Zombie Catchers,GAME,4.7,990491,75.0,"10,000,000+",Free,0.0,Everyone,Action,2018-05-24,1,4.1 and up,10000000,False
1695,Farm Heroes Saga,GAME,4.4,7614130,70.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-26,5,2.3 and up,100000000,False
1696,Geometry Dash World,GAME,4.6,760628,63.0,"10,000,000+",Free,0.0,Everyone,Arcade,2017-12-22,1,4.0 and up,10000000,False
1697,My Talking Angela,GAME,4.5,9881829,99.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-03,3,4.1 and up,100000000,False
1698,Cut the Rope FULL FREE,GAME,4.4,2123381,49.0,"100,000,000+",Free,0.0,Everyone,Puzzle,2018-07-05,3,4.1 and up,100000000,False
1700,Subway Surfers,GAME,4.5,27723193,76.0,"1,000,000,000+",Free,0.0,Everyone 10+,Arcade,2018-07-12,1,4.1 and up,1000000000,False
1701,ROBLOX,GAME,4.5,4447346,67.0,"100,000,000+",Free,0.0,Everyone 10+,Adventure;Action & Adventure,2018-07-31,2,4.1 and up,100000000,False
1702,Pou,GAME,4.3,10485334,24.0,"500,000,000+",Free,0.0,Everyone,Casual,2018-05-25,1,4.0 and up,500000000,False
1703,8 Ball Pool,GAME,4.5,14198602,52.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-31,4,4.0.3 and up,100000000,False
1706,Plants vs. Zombies FREE,GAME,4.4,4066980,69.0,"100,000,000+",Free,0.0,Everyone 10+,Strategy,2018-07-06,2,4.1 and up,100000000,False
1707,Cooking Fever,GAME,4.5,3197865,82.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-07-12,2,4.0.3 and up,100000000,False
1709,Score! Hero,GAME,4.6,5418675,96.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-06-13,1,4.4 and up,100000000,False
1710,My Talking Angela,GAME,4.5,9881908,99.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-03,3,4.1 and up,100000000,False
1711,Bubble Shooter,GAME,4.5,148895,46.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-07-17,1,4.0.3 and up,10000000,False
1713,Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99.0,"10,000,000+",Free,0.0,Everyone,Action,2018-07-30,1,4.4 and up,10000000,False
1714,Wordscapes,GAME,4.8,230710,87.0,"10,000,000+",Free,0.0,Everyone,Word,2018-08-02,1,4.1 and up,10000000,False
1715,Word Search,GAME,4.7,295305,3.9,"10,000,000+",Free,0.0,Everyone,Word,2018-06-06,1,3.0 and up,10000000,False
1716,Candy Crush Soda Saga,GAME,4.4,6198880,67.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-10,1,4.1 and up,100000000,False
1718,Garena Free Fire,GAME,4.5,5465624,53.0,"100,000,000+",Free,0.0,Teen,Action,2018-08-03,1,4.0.3 and up,100000000,False
1719,Block Puzzle,GAME,4.6,59854,7.8,"5,000,000+",Free,0.0,Everyone,Puzzle,2018-03-06,2,2.3 and up,5000000,False
1721,Clash Royale,GAME,4.6,23134775,97.0,"100,000,000+",Free,0.0,Everyone 10+,Strategy,2018-06-27,2,4.1 and up,100000000,False
1724,Granny,GAME,4.5,1137271,59.0,"50,000,000+",Free,0.0,Teen,Arcade,2018-05-29,1,4.0 and up,50000000,False
1726,Angry Birds Rio,GAME,4.4,2610622,46.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-07-03,2,4.1 and up,100000000,False
1727,Zombie Catchers,GAME,4.7,990586,75.0,"10,000,000+",Free,0.0,Everyone,Action,2018-05-24,1,4.1 and up,10000000,False
1728,Zombie Hunter King,GAME,4.3,10354,50.0,"1,000,000+",Free,0.0,Mature 17+,Action,2018-08-01,1,2.3 and up,1000000,False
1731,Jungle Marble Blast,GAME,4.3,18985,23.0,"5,000,000+",Free,0.0,Everyone,Casual,2018-07-23,1,4.0.3 and up,5000000,False
1732,Rider,GAME,4.5,655067,72.0,"10,000,000+",Free,0.0,Teen,Arcade,2017-07-17,1,4.0.3 and up,10000000,False
1733,Farm Heroes Saga,GAME,4.4,7614271,70.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-26,5,2.3 and up,100000000,False
1734,Super Jim Jump - pixel 3d,GAME,4.5,10434,18.0,"1,000,000+",Free,0.0,Everyone,Arcade,2018-07-11,2,4.0 and up,1000000,False
1736,Roll the Ball® - slide puzzle,GAME,4.5,1385093,35.0,"100,000,000+",Free,0.0,Everyone,Puzzle,2018-08-02,1,4.1 and up,100000000,False
1737,Talking Tom Gold Run,GAME,4.6,2698348,78.0,"100,000,000+",Free,0.0,Everyone,Action,2018-07-31,2,4.1 and up,100000000,False
1738,Pixel Art: Color by Number Game,GAME,4.7,1125017,25.0,"10,000,000+",Free,0.0,Everyone,Puzzle,2018-07-17,3,4.3 and up,10000000,False
1739,Dream League Soccer 2018,GAME,4.6,9882639,74.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-16,5,4.4 and up,100000000,False
1740,Angry Birds Classic,GAME,4.4,5566805,97.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-05-24,7,4.1 and up,100000000,False
1741,Fruits Bomb,GAME,4.4,74673,17.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-07-06,3,4.0.3 and up,10000000,False
1742,Traffic Racer,GAME,4.5,5387639,53.0,"100,000,000+",Free,0.0,Everyone,Racing,2018-02-27,2,4.1 and up,100000000,False
1744,Flow Free,GAME,4.3,1295606,11.0,"100,000,000+",Free,0.0,Everyone,Puzzle,2018-04-11,4,4.1 and up,100000000,False
1745,Knife Hit,GAME,4.5,461137,60.0,"10,000,000+",Free,0.0,Everyone,Arcade,2018-05-22,1,4.0.3 and up,10000000,False
1747,Farm Fruit Pop: Party Time,GAME,4.4,9305,14.0,"1,000,000+",Free,0.0,Everyone,Casual,2018-08-02,1,4.0.3 and up,1000000,False
1748,ROBLOX,GAME,4.5,4448791,67.0,"100,000,000+",Free,0.0,Everyone 10+,Adventure;Action & Adventure,2018-07-31,2,4.1 and up,100000000,False
1749,Helix Jump,GAME,4.2,1498648,33.0,"100,000,000+",Free,0.0,Everyone,Action,2018-04-09,1,4.1 and up,100000000,False
1750,Subway Surfers,GAME,4.5,27724094,76.0,"1,000,000,000+",Free,0.0,Everyone 10+,Arcade,2018-07-12,1,4.1 and up,1000000000,False
1753,Love Balls,GAME,4.2,360630,40.0,"50,000,000+",Free,0.0,Everyone,Puzzle,2018-07-31,1,4.1 and up,50000000,False
1754,Granny,GAME,4.5,1137267,59.0,"50,000,000+",Free,0.0,Teen,Arcade,2018-05-29,1,4.0 and up,50000000,False
1755,8 Ball Pool,GAME,4.5,14200344,52.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-31,4,4.0.3 and up,100000000,False
1758,Hungry Shark Evolution,GAME,4.5,6074334,100.0,"100,000,000+",Free,0.0,Teen,Arcade,2018-07-25,6,4.1 and up,100000000,False
1764,Pokémon GO,GAME,4.1,10424925,85.0,"100,000,000+",Free,0.0,Everyone,Adventure,2018-07-23,0,4.4 and up,100000000,False
1766,Paint Hit,GAME,4.4,37023,33.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-07-06,5,5.0 and up,10000000,False
1767,Snake VS Block,GAME,4.2,422244,32.0,"50,000,000+",Free,0.0,Teen,Arcade,2018-04-23,1,4.1 and up,50000000,False
1768,Rolly Vortex,GAME,4.4,98123,40.0,"10,000,000+",Free,0.0,Teen,Arcade,2018-05-25,1,4.1 and up,10000000,False
1769,Woody Puzzle,GAME,4.7,21262,29.0,"1,000,000+",Free,0.0,Everyone,Puzzle,2018-08-03,1,4.4 and up,1000000,False
1770,Stack Jump,GAME,4.3,118253,40.0,"10,000,000+",Free,0.0,Teen,Arcade,2018-05-03,1,4.1 and up,10000000,False
1771,Color by Number – New Coloring Book,GAME,4.7,141529,24.0,"5,000,000+",Free,0.0,Everyone 10+,Board,2018-08-01,2,4.1 and up,5000000,False
1772,The Cube,GAME,4.2,70226,38.0,"5,000,000+",Free,0.0,Everyone,Arcade,2018-07-25,1,4.1 and up,5000000,False
1773,Extreme Car Driving Simulator,GAME,4.3,2251012,52.0,"100,000,000+",Free,0.0,Everyone,Racing,2018-05-03,4,4.0 and up,100000000,False
1775,The Fish Master!,GAME,4.1,15763,54.0,"1,000,000+",Free,0.0,Everyone,Arcade,2018-07-17,1,4.1 and up,1000000,False
1776,Color Road,GAME,4.1,84911,71.0,"10,000,000+",Free,0.0,Everyone,Arcade,2018-07-19,2,4.1 and up,10000000,False
1777,Draw In,GAME,4.2,46416,73.0,"10,000,000+",Free,0.0,Everyone,Arcade,2018-07-23,1,4.1 and up,10000000,False
1779,PLANK!,GAME,4.7,7196,38.0,"500,000+",Free,0.0,Everyone,Arcade,2018-07-17,1,4.3 and up,500000,False
1780,Looper!,GAME,4.6,48256,62.0,"1,000,000+",Free,0.0,Everyone,Puzzle,2018-07-20,1,4.1 and up,1000000,False
1781,Trivia Crack,GAME,4.5,6427773,95.0,"100,000,000+",Free,0.0,Everyone,Trivia,2018-08-03,2,4.1 and up,100000000,False
1782,Will it Crush?,GAME,3.1,25825,16.0,"5,000,000+",Free,0.0,Everyone,Simulation,2018-05-22,1,4.4 and up,5000000,False
1783,Tomb of the Mask,GAME,4.1,55380,39.0,"5,000,000+",Free,0.0,Everyone,Action,2018-07-24,1,5.0 and up,5000000,False
1784,Baseball Boy!,GAME,3.4,148177,78.0,"10,000,000+",Free,0.0,Everyone,Arcade,2018-07-27,1,4.1 and up,10000000,False
1785,PUBG MOBILE,GAME,4.4,3715656,36.0,"50,000,000+",Free,0.0,Teen,Action,2018-07-24,0,4.3 and up,50000000,False
1787,Hello Stars,GAME,4.6,101686,31.0,"10,000,000+",Free,0.0,Everyone,Puzzle,2018-08-04,1,4.1 and up,10000000,False
1789,Tank Stars,GAME,4.3,174755,98.0,"10,000,000+",Free,0.0,Everyone 10+,Arcade,2018-07-11,1,5.0 and up,10000000,False
1790,Castle Clash: Heroes of the Empire US,GAME,4.6,4578476,24.0,"50,000,000+",Free,0.0,Everyone 10+,Strategy,2018-07-17,1,4.1 and up,50000000,False
1791,Hole.io,GAME,4.2,145353,85.0,"10,000,000+",Free,0.0,Teen,Arcade,2018-07-24,1,4.1 and up,10000000,False
1792,Helix Jump,GAME,4.2,1499373,33.0,"100,000,000+",Free,0.0,Everyone,Action,2018-04-09,1,4.1 and up,100000000,False
1793,Mini Golf King - Multiplayer Game,GAME,4.5,531458,100.0,"5,000,000+",Free,0.0,Everyone,Sports,2018-07-20,3,4.0.3 and up,5000000,False
1794,PUBG MOBILE,GAME,4.4,3714270,36.0,"50,000,000+",Free,0.0,Teen,Action,2018-07-24,0,4.3 and up,50000000,False
1795,Flip the Gun - Simulator Game,GAME,4.2,195558,86.0,"10,000,000+",Free,0.0,Everyone,Arcade,2018-07-26,1,5.0 and up,10000000,False
1796,Mad Skills BMX 2,GAME,4.5,29940,80.0,"1,000,000+",Free,0.0,Everyone,Action,2018-07-26,1,4.1 and up,1000000,False
1798,"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",GAME,4.4,41975,79.0,"1,000,000+",Free,0.0,Everyone,Racing,2018-07-19,3,5.0 and up,1000000,False
1799,Word Link,GAME,4.6,216675,30.0,"10,000,000+",Free,0.0,Everyone,Word,2018-08-01,2,4.1 and up,10000000,False
1800,Last Day on Earth: Survival,GAME,4.5,2311785,87.0,"10,000,000+",Free,0.0,Teen,Action,2018-08-01,1,4.1 and up,10000000,False
1801,MARVEL Strike Force,GAME,4.3,165888,91.0,"5,000,000+",Free,0.0,Teen,Role Playing,2018-07-31,1,4.4 and up,5000000,False
1802,Partymasters - Fun Idle Game,GAME,4.6,541144,63.0,"10,000,000+",Free,0.0,Teen,Arcade,2018-07-12,1,5.0 and up,10000000,False
1805,Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95.0,"5,000,000+",Free,0.0,Teen,Role Playing,2018-07-18,1,4.1 and up,5000000,False
1806,DRAGON BALL LEGENDS,GAME,4.6,337752,48.0,"5,000,000+",Free,0.0,Teen,Action,2018-08-03,1,6.0 and up,5000000,False
1809,New YAHTZEE® With Buddies Dice Game,GAME,4.1,42079,93.0,"5,000,000+",Free,0.0,Everyone,Board,2018-07-05,5,4.1 and up,5000000,False
1810,Word Crossy - A crossword game,GAME,4.5,240416,53.0,"5,000,000+",Free,0.0,Everyone,Word,2018-08-01,2,4.0.3 and up,5000000,False
1811,MLB TAP SPORTS BASEBALL 2018,GAME,4.6,32506,82.0,"1,000,000+",Free,0.0,Everyone,Sports,2018-06-27,1,4.2 and up,1000000,False
1812,Hero Hunters,GAME,4.4,70747,99.0,"5,000,000+",Free,0.0,Teen,Action,2018-07-31,1,4.4 and up,5000000,False
1813,Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49.0,"10,000,000+",Free,0.0,Everyone,Arcade,2018-07-30,1,4.1 and up,10000000,False
1814,Ice Crush 2018 - A new Puzzle Matching Adventure,GAME,4.6,15403,25.0,"1,000,000+",Free,0.0,Everyone,Casual,2018-08-02,1,4.1 and up,1000000,False
1816,Merge Dragons!,GAME,4.5,214777,91.0,"5,000,000+",Free,0.0,Everyone,Puzzle,2018-07-30,3,4.1 and up,5000000,False
1817,SHADOWGUN LEGENDS,GAME,4.6,100609,52.0,"1,000,000+",Free,0.0,Teen,Action,2018-07-16,0,6.0 and up,1000000,False
1818,RULES OF SURVIVAL,GAME,4.2,1343866,56.0,"10,000,000+",Free,0.0,Teen,Action,2018-08-01,1,4.0 and up,10000000,False
1819,Mafia City,GAME,4.5,168717,56.0,"10,000,000+",Free,0.0,Mature 17+,Strategy,2018-08-03,1,2.3 and up,10000000,False
1820,"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,549720,85.0,"10,000,000+",Free,0.0,Everyone,Simulation,2018-07-19,2,4.4 and up,10000000,False
1821,Dino War: Rise of Beasts,GAME,4.1,18996,81.0,"1,000,000+",Free,0.0,Teen,Strategy,2018-08-01,1,4.1 and up,1000000,False
1822,Tokyo Ghoul: Dark War,GAME,4.3,25094,82.0,"1,000,000+",Free,0.0,Teen,Role Playing,2018-07-06,1,4.3 and up,1000000,False
1823,Last Shelter: Survival,GAME,4.4,93033,98.0,"5,000,000+",Free,0.0,Teen,Strategy,2018-08-04,1,4.0.3 and up,5000000,False
1824,Guns of Glory,GAME,4.0,120592,77.0,"10,000,000+",Free,0.0,Everyone 10+,Strategy,2018-07-31,2,4.0.3 and up,10000000,False
1825,Lineage 2: Revolution,GAME,4.2,187972,99.0,"5,000,000+",Free,0.0,Teen,Role Playing,2018-07-11,1,4.4 and up,5000000,False
1827,Girls' Frontline,GAME,4.2,2055,96.0,"100,000+",Free,0.0,Teen,Strategy,2018-05-18,2,4.0.3 and up,100000,False
1828,Chapters: Interactive Stories,GAME,4.5,73539,96.0,"1,000,000+",Free,0.0,Mature 17+,Role Playing,2018-08-02,1,4.3 and up,1000000,False
1830,Master of Eternity(MOE),GAME,4.2,5829,70.0,"100,000+",Free,0.0,Teen,Strategy,2018-07-26,1,4.4 and up,100000,False
1831,The Game of Life,GAME,4.4,18621,63.0,"100,000+",Paid,2.99,Everyone,Board,2018-07-04,2,4.4 and up,100000,False
1832,Clue,GAME,4.6,19922,35.0,"100,000+",Paid,1.99,Everyone 10+,Board,2018-07-30,2,5.0 and up,100000,False
1833,The Room: Old Sins,GAME,4.9,21119,48.0,"100,000+",Paid,4.99,Everyone,Puzzle,2018-04-18,1,4.4 and up,100000,False
1834,The Escapists,GAME,4.4,7412,84.0,"100,000+",Paid,4.99,Teen,Strategy,2018-04-26,1,2.3 and up,100000,False
1836,RollerCoaster Tycoon® Classic,GAME,4.6,10795,69.0,"100,000+",Paid,5.99,Everyone,Simulation,2017-12-21,1,4.0.3 and up,100000,False
1837,Call of Duty:Black Ops Zombies,GAME,4.2,13004,46.0,"100,000+",Paid,6.99,Teen,Action,2016-12-20,1,2.3.3 and up,100000,False
1838,Star Wars ™: DIRTY,GAME,4.5,38207,15.0,"100,000+",Paid,9.99,Teen,Role Playing,2015-10-19,1,4.1 and up,100000,False
1839,Monument Valley 2,GAME,4.6,9394,33.0,"100,000+",Paid,4.99,Everyone,Puzzle,2017-11-30,1,4.4 and up,100000,False
1841,ROBLOX,GAME,4.5,4449882,67.0,"100,000,000+",Free,0.0,Everyone 10+,Adventure;Action & Adventure,2018-07-31,2,4.1 and up,100000000,False
1842,Candy Crush Saga,GAME,4.4,22429716,74.0,"500,000,000+",Free,0.0,Everyone,Casual,2018-07-05,1,4.1 and up,500000000,False
1843,Angry Birds 2,GAME,4.6,3883589,57.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-26,2,4.1 and up,100000000,False
1844,8 Ball Pool,GAME,4.5,14200550,52.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-31,4,4.0.3 and up,100000000,False
1845,Fallout Shelter,GAME,4.6,2719142,25.0,"10,000,000+",Free,0.0,Teen,Simulation,2018-06-11,1,4.1 and up,10000000,False
1847,PUBG MOBILE,GAME,4.4,3716278,36.0,"50,000,000+",Free,0.0,Teen,Action,2018-07-24,0,4.3 and up,50000000,False
1848,The Sims™ FreePlay,GAME,4.3,931595,31.0,"10,000,000+",Free,0.0,Teen,Simulation,2018-07-16,5,4.0.3 and up,10000000,False
1849,MARVEL Strike Force,GAME,4.3,165928,91.0,"5,000,000+",Free,0.0,Teen,Role Playing,2018-07-31,1,4.4 and up,5000000,False
1851,MARVEL Contest of Champions,GAME,4.3,2468063,92.0,"50,000,000+",Free,0.0,Teen,Action,2018-07-30,19,4.0.3 and up,50000000,False
1852,Jurassic World™ Alive,GAME,4.3,309176,70.0,"5,000,000+",Free,0.0,Everyone 10+,Simulation,2018-08-02,1,4.4 and up,5000000,False
1853,Choices: Stories You Play,GAME,4.6,807338,93.0,"10,000,000+",Free,0.0,Teen,Simulation,2018-07-30,2,4.0.3 and up,10000000,False
1854,Solitaire TriPeaks,GAME,4.5,446434,52.0,"10,000,000+",Free,0.0,Everyone,Card,2018-08-01,4,4.0.3 and up,10000000,False
1855,Merge Dragons!,GAME,4.5,214819,91.0,"5,000,000+",Free,0.0,Everyone,Puzzle,2018-07-30,3,4.1 and up,5000000,False
1856,The Walking Dead: Road to Survival,GAME,4.2,522466,37.0,"10,000,000+",Free,0.0,Mature 17+,Role Playing,2018-06-19,12,4.0.3 and up,10000000,False
1857,Hustle Castle: Fantasy Kingdom,GAME,4.7,584126,64.0,"10,000,000+",Free,0.0,Everyone 10+,Role Playing,2018-07-27,1,4.1 and up,10000000,False
1858,Might & Magic: Elemental Guardians,GAME,4.3,32551,35.0,"500,000+",Free,0.0,Mature 17+,Role Playing,2018-07-12,1,4.4 and up,500000,False
1859,Game of Thrones: Conquest™,GAME,4.0,90218,97.0,"1,000,000+",Free,0.0,Teen,Strategy,2018-08-03,1,6.0 and up,1000000,False
1860,Love Nikki-Dress UP Queen,GAME,4.4,212524,93.0,"5,000,000+",Free,0.0,Everyone,Role Playing,2018-07-24,3,4.0.3 and up,5000000,False
1861,Summoners War,GAME,4.3,2045554,28.0,"50,000,000+",Free,0.0,Teen,Role Playing,2018-07-30,4,4.0.3 and up,50000000,False
1862,FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83.0,"5,000,000+",Free,0.0,Teen,Role Playing,2018-07-17,3,4.0.3 and up,5000000,False
1863,Idle Heroes,GAME,4.7,416540,99.0,"10,000,000+",Free,0.0,Everyone 10+,Role Playing,2018-05-30,1,2.3 and up,10000000,False
1864,Fate/Grand Order (English),GAME,4.4,16601,55.0,"500,000+",Free,0.0,Teen,Role Playing,2018-07-26,1,4.0 and up,500000,False
1866,Lords Mobile: Battle of the Empires - Strategy RPG,GAME,4.4,3057481,14.0,"50,000,000+",Free,0.0,Teen,Strategy,2018-07-26,1,2.3 and up,50000000,False
1867,War and Order,GAME,4.3,224514,81.0,"5,000,000+",Free,0.0,Teen,Strategy,2018-07-18,1,4.0.3 and up,5000000,False
1870,ROBLOX,GAME,4.5,4449910,67.0,"100,000,000+",Free,0.0,Everyone 10+,Adventure;Action & Adventure,2018-07-31,2,4.1 and up,100000000,False
1871,8 Ball Pool,GAME,4.5,14201891,52.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-31,4,4.0.3 and up,100000000,False
1873,Candy Crush Soda Saga,GAME,4.4,6199095,67.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-10,1,4.1 and up,100000000,False
1874,Zombie Hunter King,GAME,4.3,10493,50.0,"1,000,000+",Free,0.0,Mature 17+,Action,2018-08-01,1,2.3 and up,1000000,False
1875,Bubble Shooter,GAME,4.5,148945,46.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-07-17,1,4.0.3 and up,10000000,False
1878,Clash Royale,GAME,4.6,23136735,97.0,"100,000,000+",Free,0.0,Everyone 10+,Strategy,2018-06-27,2,4.1 and up,100000000,False
1879,Clash of Clans,GAME,4.6,44893888,98.0,"100,000,000+",Free,0.0,Everyone 10+,Strategy,2018-07-15,10,4.1 and up,100000000,False
1880,Farm Heroes Saga,GAME,4.4,7614415,70.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-26,5,2.3 and up,100000000,False
1882,Word Search,GAME,4.7,295576,3.9,"10,000,000+",Free,0.0,Everyone,Word,2018-06-06,1,3.0 and up,10000000,False
1884,Super Jim Jump - pixel 3d,GAME,4.5,10460,18.0,"1,000,000+",Free,0.0,Everyone,Arcade,2018-07-11,2,4.0 and up,1000000,False
1885,Pou,GAME,4.3,10486018,24.0,"500,000,000+",Free,0.0,Everyone,Casual,2018-05-25,1,4.0 and up,500000000,False
1886,Temple Run 2,GAME,4.3,8119151,62.0,"500,000,000+",Free,0.0,Everyone,Action,2018-07-05,1,4.0 and up,500000000,False
1889,Wordscapes,GAME,4.8,230849,87.0,"10,000,000+",Free,0.0,Everyone,Word,2018-08-02,1,4.1 and up,10000000,False
1890,My Talking Angela,GAME,4.5,9883367,99.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-07-03,3,4.1 and up,100000000,False
1892,Cooking Fever,GAME,4.5,3198176,82.0,"100,000,000+",Free,0.0,Everyone,Arcade,2018-07-12,2,4.0.3 and up,100000000,False
1893,Yes day,GAME,4.5,10055521,94.0,"100,000,000+",Free,0.0,Everyone,Casual,2018-06-28,1_39_93,4.0.3 and up,100000000,False
1898,Zombie Catchers,GAME,4.7,990723,75.0,"10,000,000+",Free,0.0,Everyone,Action,2018-05-24,1,4.1 and up,10000000,False
1901,Granny,GAME,4.5,1138239,59.0,"50,000,000+",Free,0.0,Teen,Arcade,2018-05-29,1,4.0 and up,50000000,False
1902,Dream League Soccer 2018,GAME,4.6,9883806,74.0,"100,000,000+",Free,0.0,Everyone,Sports,2018-07-16,5,4.4 and up,100000000,False
1903,Sweet Fruit Candy,GAME,4.5,197540,29.0,"10,000,000+",Free,0.0,Everyone,Puzzle,2018-07-16,79,4.1 and up,10000000,False
1904,Fruits Bomb,GAME,4.4,74695,17.0,"10,000,000+",Free,0.0,Everyone,Casual,2018-07-06,3,4.0.3 and up,10000000,False
